country,vaccines,total_vaccinations
Belize,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",467251.0
Chad,Sinopharm/Beijing,419469.0
New Caledonia,Pfizer/BioNTech,367883.0
French Polynesia,"Johnson&Johnson, Pfizer/BioNTech",367057.0
Gambia,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",363353.0
Solomon Islands,Oxford/AstraZeneca,358073.0
Bahamas,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech",334155.0
Barbados,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",312145.0
Samoa,Oxford/AstraZeneca,304893.0
Haiti,"Johnson&Johnson, Moderna",249801.0
Curacao,"Moderna, Pfizer/BioNTech",246566.0
Jersey,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",226090.0
Sao Tome and Principe,Oxford/AstraZeneca,205085.0
Seychelles,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",199466.0
Vanuatu,Oxford/AstraZeneca,199464.0
Isle of Man,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",189498.0
Aruba,Pfizer/BioNTech,169231.0
Djibouti,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",165554.0
Andorra,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",151997.0
Guernsey,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",150724.0
Tonga,Oxford/AstraZeneca,147193.0
Cayman Islands,"Oxford/AstraZeneca, Pfizer/BioNTech",141118.0
Kiribati,Oxford/AstraZeneca,133953.0
Bermuda,"Oxford/AstraZeneca, Pfizer/BioNTech",127090.0
Antigua and Barbuda,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",125386.0
Saint Lucia,"Oxford/AstraZeneca, Pfizer/BioNTech",117740.0
Gibraltar,"Oxford/AstraZeneca, Pfizer/BioNTech",116358.0
Faeroe Islands,"Moderna, Pfizer/BioNTech",103894.0
Grenada,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech",87154.0
Greenland,Moderna,79745.0
Liechtenstein,"Johnson&Johnson, Moderna, Pfizer/BioNTech",70434.0
Saint Vincent and the Grenadines,Oxford/AstraZeneca,69602.0
Turks and Caicos Islands,Pfizer/BioNTech,68670.0
San Marino,"Pfizer/BioNTech, Sputnik V",68230.0
Monaco,Pfizer/BioNTech,65140.0
Dominica,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",62334.0
Sint Maarten (Dutch part),"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",62043.0
Saint Kitts and Nevis,"Oxford/AstraZeneca, Pfizer/BioNTech",60467.0
British Virgin Islands,"Johnson&Johnson, Oxford/AstraZeneca",40537.0
Bonaire Sint Eustatius and Saba,"Moderna, Pfizer/BioNTech",35845.0
Cook Islands,Pfizer/BioNTech,29565.0
Anguilla,"Oxford/AstraZeneca, Pfizer/BioNTech",22714.0
Nauru,Oxford/AstraZeneca,16824.0
Wallis and Futuna,Moderna,13073.0
Burundi,Sinopharm/Beijing,12166.0
Tuvalu,Oxford/AstraZeneca,12114.0
Saint Helena,Oxford/AstraZeneca,7892.0
Falkland Islands,Oxford/AstraZeneca,4407.0
Montserrat,Oxford/AstraZeneca,4211.0
Niue,Pfizer/BioNTech,4161.0
Tokelau,Pfizer/BioNTech,1936.0
Pitcairn,Oxford/AstraZeneca,94.0
